Datetime,Energy_kW,Temperature_C,Humidity_pct,PowerCut_Risk,ShortCircuit_Risk,ExcessElectricity_Risk,CarbonCredit_USD,LowPollution_Flag,hour,day_of_week,is_weekend,Energy_kW_lag1,Energy_kW_lag24,PowerCut_Risk_lag1,PowerCut_Risk_lag24,ShortCircuit_Risk_lag1,ShortCircuit_Risk_lag24,ExcessElectricity_Risk_lag1,ExcessElectricity_Risk_lag24,Energy_rolling_mean_3,PowerCut_Risk_rolling_6,temp_humidity_interaction
2024-01-02 00:00:00,1.92,9.2,57.7,-0.045,0.021,0.028,0.0012,1.0,0,1,0,2.38,2.4,0.046,-0.034,0.02,0.02,0.025,0.016,2.176666666666667,0.143,5.308400000000001
2024-01-02 01:00:00,2.8,6.9,60.3,-0.036,0.021,0.049,0.0016,1.0,1,1,0,1.92,2.6,-0.045,-0.048,0.021,0.02,0.028,0.097,2.366666666666667,0.03183333333333333,4.1607
2024-01-02 02:00:00,2.53,6.8,64.3,-0.013,0.021,0.063,0.0013,1.0,2,1,0,2.8,2.21,-0.036,-0.02,0.021,0.02,0.049,0.052,2.4166666666666674,-0.009,4.3724
2024-01-02 03:00:00,2.12,4.4,76.2,-0.041,0.021,0.084,0.001,1.0,3,1,0,2.53,2.21,-0.013,0.011,0.021,0.02,0.063,0.014,2.483333333333334,-0.014499999999999999,3.3528000000000002
2024-01-02 04:00:00,2.11,0.1,60.8,0.018,0.021,0.002,0.0009,1.0,4,1,0,2.12,2.12,-0.041,-0.03,0.021,0.02,0.084,0.051,2.253333333333334,-0.011833333333333333,0.0608
2024-01-02 05:00:00,2.2,-3.5,61.6,0.015,0.021,0.017,0.0011,1.0,5,1,0,2.11,2.25,0.018,0.011,0.021,0.02,0.002,0.017,2.143333333333334,-0.016999999999999998,-2.156
2024-01-02 06:00:00,2.52,1.4,53.3,0.042,0.021,0.088,0.0018,1.0,6,1,0,2.2,2.58,0.015,-0.038,0.021,0.02,0.017,0.05,2.2766666666666673,-0.0025,0.7461999999999999
2024-01-02 07:00:00,3.94,-0.8,50.4,0.032,0.021,0.056,0.0035,0.0,7,1,0,2.52,4.37,0.042,-0.019,0.021,0.02,0.088,0.052,2.886666666666667,0.008833333333333334,-0.4032
2024-01-02 08:00:00,3.68,-2.4,62.8,-0.016,0.021,0.035,0.0037,0.0,8,1,0,3.94,3.73,0.032,-0.041,0.021,0.02,0.056,0.02,3.3800000000000003,0.008333333333333333,-1.5072
2024-01-02 09:00:00,4.16,-1.4,62.8,0.039,0.021,0.078,0.0043,0.0,9,1,0,3.68,4.03,-0.016,-0.011,0.021,0.02,0.035,0.027,3.926666666666667,0.021666666666666667,-0.8791999999999999
2024-01-02 10:00:00,3.87,-1.2,62.7,-0.049,0.021,0.016,0.0042,0.0,10,1,0,4.16,3.91,0.039,-0.036,0.021,0.02,0.078,0.08,3.903333333333334,0.0105,-0.7524
2024-01-02 11:00:00,3.86,3.3,62.8,0.015,0.021,0.022,0.0043,0.0,11,1,0,3.87,3.65,-0.049,-0.049,0.021,0.02,0.016,0.082,3.9633333333333334,0.0105,2.0724
2024-01-02 12:00:00,3.81,2.8,68.4,0.015,0.021,0.085,0.0044,0.0,12,1,0,3.86,4.21,0.015,0.036,0.021,0.02,0.022,0.062,3.8466666666666676,0.005999999999999999,1.9152
2024-01-02 13:00:00,2.54,4.8,73.7,-0.041,0.021,0.037,0.003,0.0,13,1,0,3.81,2.64,0.015,-0.019,0.021,0.02,0.085,0.033,3.4033333333333338,-0.0061666666666666675,3.5376
2024-01-02 14:00:00,2.53,3.6,58.3,0.039,0.021,0.063,0.0031,0.0,14,1,0,2.54,2.86,-0.041,-0.038,0.021,0.02,0.037,0.071,2.960000000000001,0.002999999999999999,2.0987999999999998
2024-01-02 15:00:00,2.77,7.4,69.4,0.008,0.021,0.049,0.0035,0.0,15,1,0,2.53,2.9,0.039,0.027,0.021,0.02,0.063,0.049,2.6133333333333337,-0.0021666666666666674,5.1356
2024-01-02 16:00:00,2.83,7.5,49.2,0.044,0.021,0.095,0.004,0.0,16,1,0,2.77,2.18,0.008,-0.019,0.021,0.02,0.049,0.051,2.710000000000001,0.01333333333333333,3.69
2024-01-02 17:00:00,2.8,10.5,62.6,-0.048,0.021,0.093,0.0045,0.0,17,1,0,2.83,2.64,0.044,-0.009,0.021,0.02,0.095,0.076,2.8000000000000007,0.0028333333333333322,6.573
2024-01-02 18:00:00,4.6,12.0,49.6,0.635,0.021,0.032,0.0083,0.0,18,1,0,2.8,4.34,-0.048,0.23,0.021,0.02,0.093,0.019,3.41,0.10616666666666667,5.952000000000001
2024-01-02 19:00:00,4.2,13.4,46.0,0.244,0.021,0.07,0.0081,0.0,19,1,0,4.6,4.57,0.635,0.631,0.021,0.02,0.032,0.09,3.866666666666667,0.15366666666666667,6.164
2024-01-02 20:00:00,4.33,13.6,56.4,0.238,0.021,0.074,0.008,0.0,20,1,0,4.2,4.36,0.244,0.232,0.021,0.02,0.07,0.086,4.376666666666667,0.18683333333333332,7.6704
2024-01-02 21:00:00,2.48,15.2,63.9,-0.014,0.021,0.029,0.004,0.0,21,1,0,4.33,2.41,0.238,-0.008,0.021,0.02,0.074,0.022,3.6700000000000004,0.18316666666666667,9.7128
2024-01-02 22:00:00,2.41,13.2,60.2,0.03,0.021,0.065,0.0029,0.0,22,1,0,2.48,2.23,-0.014,0.002,0.021,0.02,0.029,0.07,3.073333333333334,0.18083333333333332,7.9464
2024-01-02 23:00:00,3.08,12.8,61.4,0.039,0.021,0.034,0.0025,0.0,23,1,0,2.41,2.38,0.03,0.046,0.021,0.02,0.065,0.025,2.6566666666666676,0.19533333333333333,7.8592
2024-01-03 00:00:00,2.16,8.8,53.5,-0.003,0.021,0.054,0.0013,1.0,0,2,0,3.08,1.92,0.039,-0.045,0.021,0.021,0.034,0.028,2.5500000000000007,0.08900000000000001,4.708
2024-01-03 01:00:00,2.33,8.7,44.5,-0.047,0.021,0.004,0.0013,1.0,1,2,0,2.16,2.8,-0.003,-0.036,0.021,0.021,0.054,0.049,2.523333333333334,0.0405,3.8714999999999997
2024-01-03 02:00:00,2.22,7.5,58.3,0.027,0.021,0.022,0.0012,1.0,2,2,0,2.33,2.53,-0.047,-0.013,0.021,0.021,0.004,0.063,2.2366666666666672,0.005333333333333333,4.3725
2024-01-03 03:00:00,2.09,1.8,61.2,-0.045,0.021,0.053,0.001,1.0,3,2,0,2.22,2.12,0.027,-0.041,0.021,0.021,0.022,0.084,2.2133333333333343,0.00016666666666666682,1.1016000000000001
2024-01-03 04:00:00,2.74,2.6,43.0,0.03,0.021,0.027,0.0012,1.0,4,2,0,2.09,2.11,-0.045,0.018,0.021,0.021,0.053,0.002,2.350000000000001,0.00016666666666666682,1.1179999999999999
2024-01-03 05:00:00,2.35,-1.9,59.7,-0.047,0.021,0.096,0.0011,1.0,5,2,0,2.74,2.2,0.03,0.015,0.021,0.021,0.027,0.017,2.393333333333334,-0.014166666666666666,-1.1343
2024-01-03 06:00:00,2.81,0.1,50.4,-0.034,0.021,0.025,0.002,1.0,6,2,0,2.35,2.52,-0.047,0.042,0.021,0.021,0.096,0.088,2.633333333333334,-0.01933333333333333,0.0504
2024-01-03 07:00:00,3.94,1.1,62.9,0.016,0.021,0.028,0.0035,0.0,7,2,0,2.81,3.94,-0.034,0.032,0.021,0.021,0.025,0.056,3.0333333333333337,-0.008833333333333334,0.6919
2024-01-03 08:00:00,4.43,-0.6,48.0,-0.014,0.021,0.076,0.0044,0.0,8,2,0,3.94,3.68,0.016,-0.016,0.021,0.021,0.028,0.035,3.726666666666667,-0.015666666666666666,-0.288
2024-01-03 09:00:00,3.91,-1.5,66.6,-0.003,0.021,0.01,0.0041,0.0,9,2,0,4.43,4.16,-0.014,0.039,0.021,0.021,0.076,0.078,4.093333333333334,-0.008666666666666668,-0.9989999999999999
2024-01-03 10:00:00,3.36,-3.7,59.1,-0.01,0.021,0.062,0.0036,0.0,10,2,0,3.91,3.87,-0.003,-0.049,0.021,0.021,0.01,0.016,3.9000000000000004,-0.015333333333333332,-2.1867
2024-01-03 11:00:00,3.76,-1.2,61.4,-0.013,0.021,0.063,0.0042,0.0,11,2,0,3.36,3.86,-0.01,0.015,0.021,0.021,0.062,0.022,3.676666666666667,-0.009666666666666667,-0.7367999999999999
