Datetime,Energy_kW,hour,day_of_week,is_weekend,lag_1,rolling_mean_3
2024-01-01 02:00:00,2.43,2,0,0,2.27,2.3666666666666667
2024-01-01 03:00:00,2.6,3,0,0,2.43,2.433333333333333
2024-01-01 04:00:00,2.25,4,0,0,2.6,2.4266666666666667
2024-01-01 05:00:00,2.25,5,0,0,2.25,2.3666666666666667
2024-01-01 06:00:00,3.02,6,0,0,2.25,2.5066666666666664
2024-01-01 07:00:00,4.15,7,0,0,3.02,3.14
2024-01-01 08:00:00,3.91,8,0,0,4.15,3.6933333333333334
2024-01-01 09:00:00,4.11,9,0,0,3.91,4.0566666666666675
2024-01-01 10:00:00,3.91,10,0,0,4.11,3.9766666666666666
2024-01-01 11:00:00,3.91,11,0,0,3.91,3.9766666666666666
2024-01-01 12:00:00,4.05,12,0,0,3.91,3.956666666666667
2024-01-01 13:00:00,2.32,13,0,0,4.05,3.4266666666666663
2024-01-01 14:00:00,2.36,14,0,0,2.32,2.91
2024-01-01 15:00:00,2.59,15,0,0,2.36,2.4233333333333333
2024-01-01 16:00:00,2.5,16,0,0,2.59,2.483333333333333
2024-01-01 17:00:00,2.76,17,0,0,2.5,2.6166666666666667
2024-01-01 18:00:00,4.32,18,0,0,2.76,3.1933333333333334
2024-01-01 19:00:00,4.22,19,0,0,4.32,3.766666666666667
2024-01-01 20:00:00,4.79,20,0,0,4.22,4.443333333333333
2024-01-01 21:00:00,2.65,21,0,0,4.79,3.8866666666666667
2024-01-01 22:00:00,2.31,22,0,0,2.65,3.25
2024-01-01 23:00:00,2.02,23,0,0,2.31,2.3266666666666667
2024-01-02 00:00:00,2.2,0,1,0,2.02,2.1766666666666663
2024-01-02 01:00:00,2.33,1,1,0,2.2,2.1833333333333336
2024-01-02 02:00:00,2.07,2,1,0,2.33,2.2
2024-01-02 03:00:00,2.38,3,1,0,2.07,2.2600000000000002
2024-01-02 04:00:00,2.18,4,1,0,2.38,2.2099999999999995
2024-01-02 05:00:00,2.25,5,1,0,2.18,2.27
2024-01-02 06:00:00,2.58,6,1,0,2.25,2.3366666666666664
